Model,beforeSize,currentSize,Waist,Hips,Leg,Shape,Other,Time,Notes
Saphiro,null,1,71,100,0,,,,
Saphiro,null,1,62,97,0,,,,
Saphiro,null,1,67,99,0,,,,
Saphiro,null,1,58,95,0,,,,
Saphiro,0-10,2,64,100,53,6,1 US,15:35,
Saphiro,null,2,72,98,69,,,,
Saphiro,null,2,62,103,59,,,,
Saphiro,null,2,67,101,,,,,
Saphiro,null,2,71,100,53,,,,
Saphiro,null,3,73,100,,,,,
Saphiro,null,3,75,99,,,,,
Saphiro,null,3,66,98,,,,,
Saphiro,null,3,70,97,,,,,
Saphiro,4-10,4,79,100,59,1,2 US,15:35,
Saphiro,4-8,4,56,100,67,2,1US,,
Saphiro,null,4,65,101,,,,,
Saphiro,null,4,76,102,,,,,
Saphiro,null,5,74,104,,,,,
Saphiro,null,5,69,107,,,,,
Saphiro,null,5,75,110,,,,,
Saphiro,null,5,73,105,,,,,
Saphiro,4-12,5,76,104,64,2,5 US - 7 US,13:30,
Saphiro,null,5,71,110,62,,,,
Saphiro,null,6,69,110,66,,,,
Saphiro,Null,6,71,112,71,6,7 US,12:04,Modelo con faja
Saphiro,null,6,65,109,62,2,2US,,
Saphiro,null,6,70,107,64,,4 US,,
Saphiro,null,6,70,107,64,,,,
Saphiro,null,6,70,107,64,,,,
Saphiro,null,7,79,100,59,,,,
Saphiro,null,7,80,101,58,,,,
Saphiro,null,7,75,95,62,,,,
Saphiro,null,7,74,109,64,,,,
Saphiro,null,7,71,101,60,,,,
Saphiro,null,7,79,120,71,,,,
Saphiro,null,7,72,105,64,,,,
Saphiro,4-12,7,78,104,64,2,4 US,12:44,
Saphiro,null,7,89,110,81,,,,
Saphiro,null,7,83,111,80,,,,
Saphiro,null,7,85,109,79,,,,
Saphiro,Null,8,75,112,71,6,7 US,12:13,Modelo sin faja
Saphiro,Null,8,72,105,64,6,5US,15:35,
Saphiro,Null,8,77,107,70,,,,
Saphiro,Null,8,79,110,71,,,,
Saphiro,null,9,60,103,59,,,,
Saphiro,null,9,78,107,65,,,,
Saphiro,null,9,74,110,70,,,,
Saphiro,null,9,78,107,67,,,,
Saphiro,8-14,9,79,108,67,4,5-7 US / 23-24 MX,11:48:00 AM,
Saphiro,6-14,9,60,106,59,6,7 US,,
Saphiro,null,9,70,114,61,,,,
Saphiro,null,9,75,118,68,,,,
Saphiro,8-14,10,84,107,66,2,6 US,13:19,
Saphiro,8-14,10,85,110,69,4,5 US,15:35,
Saphiro,8-14,10,93,117,80,,,,
Saphiro,8-14,10,97,114,88,,,,
Saphiro,10-16,11,99,124,74,4,11 US,15:35,
Saphiro,10-14,11,82,112,70,4,9US,,
Saphiro,null,11,98,120,75,,,,
Saphiro,null,11,95,113,75,,,,
Saphiro,null,11,84,113,72,,,,
Saphiro,null,11,84,104,60,,,,
Saphiro,null,11,92,110,65,,,,
Saphiro,null,12,103,123,,,,,
Saphiro,null,12,106,126,,,,,
Saphiro,null,12,93,119,,,,,
Saphiro,null,12,112,127,,,,,
Saphiro,null,12,102,124,74,,,,
Saphiro,null,13,110,134,,,,,
Saphiro,null,13,107,129,,,,,
Saphiro,null,13,114,130,,,,,
Saphiro,null,13,102,131,,,,,
Saphiro,null,14,106,120,,,,,
Saphiro,null,14,108,125,,,,,
Saphiro,null,14,115,123,,,,,
Saphiro,null,14,120,129,,,,,
Saphiro,null,14,79,120,,,,,
Saphiro,null,14,81,117,,,,,
Saphiro,null,15,106,130,77,4,13 US,15:35,
Saphiro,16-20,15,119,128,79,5,14 US,15:35,
Saphiro,null,15,110,129,,,,,
Saphiro,null,15,113,131,,,,,
Saphiro,null,16,130,140,,,,,
Saphiro,null,16,127,143,,,,,
Saphiro,null,16,120,139,,,,,
Saphiro,null,16,110,135,,,,,
Saphiro,null,1,75,97,0,,,,
Saphiro,null,1,62,96,0,,,,
Saphiro,null,1,73,92,0,,,,
Saphiro,null,1,69,93,0,,,,
Saphiro,null,1,73,92,0,,,,
Saphiro,null,1,59,97,0,,,,
Saphiro,null,1,60,92,0,,,,
Saphiro,null,1,62,96,0,,,,
Saphiro,null,1,62,91,0,,,,
Saphiro,null,1,70,96,0,,,,
Saphiro,null,1,69,92,0,,,,
Saphiro,null,1,69,98,0,,,,
Saphiro,null,1,66,102,0,,,,
Saphiro,null,1,71,91,0,,,,
Saphiro,null,1,64,93,0,,,,
Saphiro,null,1,74,93,0,,,,
Saphiro,null,1,65,102,0,,,,
Saphiro,null,1,75,96,0,,,,
Saphiro,null,1,71,98,0,,,,
Saphiro,null,1,71,94,0,,,,
Saphiro,null,1,59,102,0,,,,
Saphiro,null,1,61,100,0,,,,
Saphiro,null,1,63,97,0,,,,
Saphiro,null,1,70,95,0,,,,
Saphiro,null,2,69,99,0,,,,
Saphiro,null,2,62,100,0,,,,
Saphiro,null,2,68,96,0,,,,
Saphiro,null,2,60,105,0,,,,
Saphiro,null,2,64,96,0,,,,
Saphiro,null,2,71,99,0,,,,
Saphiro,null,2,58,95,0,,,,
Saphiro,null,2,60,103,0,,,,
Saphiro,null,2,75,107,0,,,,
Saphiro,null,2,66,102,0,,,,
Saphiro,null,2,59,97,0,,,,
Saphiro,null,2,64,104,0,,,,
Saphiro,null,2,72,95,0,,,,
Saphiro,null,2,66,96,0,,,,
Saphiro,null,2,72,103,0,,,,
Saphiro,null,2,64,104,0,,,,
Saphiro,null,2,59,98,0,,,,
Saphiro,null,2,67,106,0,,,,
Saphiro,null,2,74,95,0,,,,
Saphiro,null,2,63,106,0,,,,
Saphiro,null,2,61,106,0,,,,
Saphiro,null,2,71,96,0,,,,
Saphiro,null,2,67,101,0,,,,
Saphiro,null,2,70,96,0,,,,
Saphiro,null,2,72,96,0,,,,
Saphiro,null,3,65,93,0,,,,
Saphiro,null,3,78,95,0,,,,
Saphiro,null,3,71,97,0,,,,
Saphiro,null,3,74,92,0,,,,
Saphiro,null,3,73,102,0,,,,
Saphiro,null,3,69,96,0,,,,
Saphiro,null,3,79,98,0,,,,
Saphiro,null,3,65,98,0,,,,
Saphiro,null,3,79,98,0,,,,
Saphiro,null,3,66,96,0,,,,
Saphiro,null,3,77,94,0,,,,
Saphiro,null,3,71,102,0,,,,
Saphiro,null,3,77,96,0,,,,
Saphiro,null,3,68,97,0,,,,
Saphiro,null,3,76,99,0,,,,
Saphiro,null,3,65,92,0,,,,
Saphiro,null,3,74,94,0,,,,
Saphiro,null,3,69,102,0,,,,
Saphiro,null,3,80,96,0,,,,
Saphiro,null,3,70,99,0,,,,
Saphiro,null,3,65,103,0,,,,
Saphiro,null,3,80,103,0,,,,
Saphiro,null,3,75,94,0,,,,
Saphiro,null,3,64,92,0,,,,
Saphiro,null,3,71,92,0,,,,
Saphiro,null,4,80,96,0,,,,
Saphiro,null,4,79,101,0,,,,
Saphiro,null,4,66,105,0,,,,
Saphiro,null,4,64,102,0,,,,
Saphiro,null,4,74,100,0,,,,
Saphiro,null,4,71,101,0,,,,
Saphiro,null,4,65,106,0,,,,
Saphiro,null,4,66,106,0,,,,
Saphiro,null,4,73,104,0,,,,
Saphiro,null,4,67,102,0,,,,
Saphiro,null,4,70,105,0,,,,
Saphiro,null,4,71,104,0,,,,
Saphiro,null,4,74,98,0,,,,
Saphiro,null,4,73,104,0,,,,
Saphiro,null,4,79,103,0,,,,
Saphiro,null,4,71,103,0,,,,
Saphiro,null,4,66,104,0,,,,
Saphiro,null,4,70,99,0,,,,
Saphiro,null,4,73,99,0,,,,
Saphiro,null,4,67,106,0,,,,
Saphiro,null,4,65,102,0,,,,
Saphiro,null,4,69,103,0,,,,
Saphiro,null,4,77,97,0,,,,
Saphiro,null,4,76,95,0,,,,
Saphiro,null,4,66,103,0,,,,
Saphiro,null,5,77,102,0,,,,
